source,confirmed_total,recovered_total,deaths_total,confirmed_by_population,recovered_by_population,deaths_by_population,confirmed_total_grow_percent,recovered_total_grow_percent,deaths_total_grow_percent,confirmed_by_population_grow_percent,recovered_by_population_grow_percent,deaths_by_population_grow_percent
29.01.2021,411730,389476,7658,4648.1356881268375,4396.904027563909,86.45331430713166,0.3463163386209427,0.4127049950391034,0.6274488945749893,0.34631633862094435,0.4127049950391042,0.6274488945749893
30.01.2021,413208,391076,7703,4664.8212455238,4414.966877249389,86.96133195453581,0.3397993052444615,0.401927955056988,0.5964073896305457,0.3397993052444602,0.40192795505698703,0.5964073896305442
31.01.2021,414398,392497,7721,4678.255489977376,4431.008945626307,87.16453901349746,0.3383858736057005,0.4010133549616265,0.5737216596820521,0.3383858736057011,0.4010133549616252,0.5737216596820524
01.02.2021,415522,393747,7778,4690.944641881426,4445.120546943089,87.80802803354271,0.3415180122572056,0.3886411872362799,0.6156334448885443,0.34151801225720535,0.3886411872362812,0.6156334448885425
02.02.2021,416763,395316,7847,4704.954639668727,4462.833428915913,88.58698842622907,0.33429050057903603,0.3812214286611293,0.619658073872697,0.33429050057903614,0.3812214286611281,0.6196580738726973
03.02.2021,418283,396709,7902,4722.114346869934,4478.559397423334,89.20789888416746,0.3288133888214634,0.37867504310898475,0.6266402923869935,0.3288133888214611,0.378675043108984,0.6266402923869949
04.02.2021,419801,397910,7936,4739.251475509033,4492.117823968499,89.59173443998392,0.3300196261678478,0.3688261938924175,0.606895797102565,0.33001962616784664,0.36882619389241683,0.6068957971025645
05.02.2021,421189,399329,7973,4754.920997611188,4508.13731378331,90.00943783896066,0.32501738457406654,0.3575497544031336,0.5777236132693384,0.32501738457406526,0.35754975440313463,0.5777236132693389
06.02.2021,422522,400851,7994,4769.969609255404,4525.319599546623,90.2465127410826,0.31894765385592405,0.35331132484771727,0.5314047774046152,0.3189476538559242,0.35331132484772076,0.5314047774046151
07.02.2021,423839,402053,8012,4784.837592402765,4538.8893153728395,90.44971980004425,0.3223346815470995,0.34424069061394885,0.5301895895722802,0.3223346815470996,0.34424069061394796,0.5301895895722802
08.02.2021,424896,403302,8032,4796.770362476236,4552.989627408568,90.67550542111276,0.31921329855739905,0.3431238032657375,0.46038662107370804,0.3192132985574009,0.34312380326573516,0.46038662107370776
09.02.2021,426093,404676,8071,4810.283631897187,4568.501099575974,91.11578738219634,0.3167926580308486,0.33486786000262886,0.40302094364457136,0.3167926580308498,0.33486786000262686,0.4030209436445693
10.02.2021,427562,405921,8114,4826.867585764668,4582.556254487489,91.60122646749365,0.3139419063762734,0.32847888906618905,0.3790019218171827,0.3139419063762722,0.32847888906618966,0.3790019218171826
11.02.2021,429139,407155,8138,4844.67078198592,4596.487227307416,91.87216921277584,0.3147880786538599,0.3286587804212034,0.35978967115143584,0.31478807865386177,0.32865878042120233,0.3597896711514345
12.02.2021,430870,408426,8170,4864.212527489399,4610.835903526319,92.23342620648546,0.3251785017603065,0.32230918383013635,0.3493592665694158,0.3251785017603055,0.32230918383013224,0.34935926656941485
13.02.2021,432303,409877,8195,4880.390067238958,4627.21665033484,92.51565823282111,0.32747820393440774,0.3186130343721996,0.3554462114772681,0.32747820393440874,0.31861303437219707,0.35544621147726935
14.02.2021,433487,411199,8211,4893.756576006213,4642.141079887469,92.6962867296759,0.32207566543254756,0.32185214031839005,0.35117080061335876,0.3220756654325481,0.32185214031839127,0.3511708006133589
15.02.2021,434712,412457,8221,4907.58594529666,4656.342995452677,92.80917954021017,0.32681922926422613,0.3211777168623719,0.33290826974414417,0.3268192292642257,0.3211777168623725,0.3329082697441454
16.02.2021,436139,413908,8260,4923.6957493598975,4672.723742261198,93.24946150129375,0.33346884548944616,0.32276437743039377,0.33131356596589867,0.33346884548944383,0.322764377430396,0.3313135659658998
17.02.2021,437874,415221,8290,4943.282651987591,4687.546568284345,93.58813993289651,0.34104720823923923,0.3241310519463669,0.3070884908681659,0.3410472082392405,0.32413105194636593,0.3070884908681651
18.02.2021,439841,416431,8312,4965.488667819679,4701.20659835899,93.83650411607188,0.3525301493157094,0.3223326291558276,0.30274490701391193,0.35253014931570986,0.32233262915582755,0.3027449070139143
19.02.2021,441659,417654,8348,4986.012580774806,4715.013389087329,94.24291823399518,0.35395377386243654,0.3196926263679055,0.30844372869762937,0.35395377386243937,0.31969262636790746,0.3084437286976297
20.02.2021,443536,419283,8368,5007.202561312085,4733.403627923359,94.4687038550637,0.3671545732331015,0.3246596915341185,0.29895527014024204,0.3671545732330997,0.3246596915341172,0.2989552701402406
21.02.2021,445374,420509,8386,5027.952259888281,4747.244286494859,94.67191091402535,0.38722815197956273,0.32035514183008523,0.30179300755649524,0.3872281519795635,0.320355141830085,0.30179300755649496
22.02.2021,446644,421811,8397,5042.2896468261315,4761.942930426419,94.79609300561303,0.3875940812732158,0.3208823087057034,0.30313345808671094,0.3875940812732158,0.3208823087057038,0.30313345808671016
23.02.2021,448371,423014,8434,5061.786235205397,4775.52393553369,95.21379640458977,0.39593666737423927,0.31136867636716764,0.29831041767643046,0.39593666737424005,0.31136867636716853,0.29831041767643063
24.02.2021,450376,424348,8470,5084.421243717515,4790.583836458959,95.62021052251309,0.40298886326225064,0.3111023536675184,0.3074029322279398,0.4029888632622498,0.31110235366751954,0.30740293222794124
25.02.2021,452767,425786,8493,5111.413914716255,4806.817822613785,95.87986398674187,0.4146565433979893,0.3178826011038914,0.30828388355771846,0.4146565433979876,0.3178826011038932,0.30828388355771724
26.02.2021,454860,427257,8515,5135.042379961074,4823.424355043374,96.12822816991722,0.4216476135933093,0.32528154478907767,0.2834164686231623,0.4216476135933078,0.325281544789079,0.2834164686231619
27.02.2021,457317,428904,8538,5162.780143509341,4842.017800938364,96.38788163414601,0.4381015701292594,0.32463104520311953,0.28777835800939355,0.43810157012926026,0.3246310452031196,0.2877783580093937
28.02.2021,459440,430415,8561,5186.747287185763,4859.07590461009,96.6475350983748,0.445220481570085,0.333186666614312,0.2955324677435391,0.4452204815700841,0.33318666661431007,0.29553246774354086
01.03.2021,460849,432016,8574,5202.653884190039,4877.150043576625,96.79429575206932,0.4482953520474723,0.34209264177287296,0.2984868134495681,0.44829535204747234,0.34209264177287296,0.2984868134495669
02.03.2021,462769,433873,8605,5224.329303812616,4898.114238492836,97.14426346472551,0.4525754880055599,0.36275640886513294,0.2871903333927516,0.4525754880055594,0.3627564088651329,0.2871903333927513
