country,France,Italy,Spain,US,United Kingdom
14.04.2020,15712,21067,18056,32676,22371
15.04.2020,17150,21645,18708,35300,23649
16.04.2020,17903,22170,19315,37487,24975
17.04.2020,18664,22745,20002,39591,26248
18.04.2020,19305,23227,20043,41534,27442
19.04.2020,19694,23660,20453,43501,28566
20.04.2020,20241,24114,20852,45787,29730
21.04.2020,20769,24648,21282,48238,30815
22.04.2020,21313,25085,21717,50703,31926
23.04.2020,21829,25549,22157,53131,32965
24.04.2020,22218,25969,22524,55195,33978
25.04.2020,22587,26384,22902,56934,34899
26.04.2020,22830,26644,23190,58349,35793
27.04.2020,23267,26977,23521,59835,36662
28.04.2020,23634,27359,23822,62067,37464
29.04.2020,24060,27682,24275,64441,38281
30.04.2020,24349,27967,24543,66633,39062
01.05.2020,24566,28236,24543,68513,39849
02.05.2020,24763,28710,25100,70256,40557
03.05.2020,24898,28884,25264,71459,41220
04.05.2020,25204,29079,25428,72829,41898
05.05.2020,25537,29315,25613,75008,42540
06.05.2020,25812,29684,25857,77329,43167
07.05.2020,25991,29958,26070,79235,43798
08.05.2020,26233,30201,26299,81004,44368
09.05.2020,26313,30395,26478,82475,44907
10.05.2020,26383,30560,26621,83476,45401
11.05.2020,26646,30739,26744,84502,45830
12.05.2020,26994,30911,26920,86094,46272
13.05.2020,27079,31106,27104,87789,46726
14.05.2020,27430,31368,27321,89558,47193
15.05.2020,27532,31610,27459,91186,47615
16.05.2020,27630,31763,27563,92355,48034
17.05.2020,28113,31908,27563,93170,48411
18.05.2020,28242,32007,27709,94392,48818
19.05.2020,28025,32169,27778,95820,49190
20.05.2020,28136,32330,27888,97290,49543
21.05.2020,28218,32486,27940,98472,49886
22.05.2020,28366,32616,28628,99676,50187
23.05.2020,28452,32735,28678,100754,50471
24.05.2020,28372,32785,28752,101393,50752
25.05.2020,28461,32877,26834,101993,51031
26.05.2020,28598,32955,27117,102646,51331
27.05.2020,28599,33072,27117,104098,51613
28.05.2020,28666,33142,27119,105164,51901
29.05.2020,28717,33229,27121,106273,52155
30.05.2020,28774,33340,27125,107221,52374
31.05.2020,28805,33415,27127,107844,52569
01.06.2020,28837,33475,27127,108611,52768
02.06.2020,28943,33530,27127,109582,53001
03.06.2020,29024,33601,27128,110582,53204
04.06.2020,29069,33689,27133,111580,53388
05.06.2020,29114,33774,27134,112450,53572
06.06.2020,29145,33846,27135,113088,53723
07.06.2020,29158,33899,27136,113548,53886
08.06.2020,29213,33964,27136,114050,54047
09.06.2020,29301,34043,27136,114959,54184
10.06.2020,29322,34114,27136,115817,54350
11.06.2020,29349,34167,27136,116628,54471
12.06.2020,29377,34223,27136,117451,54606
13.06.2020,29401,34301,27136,118157,54707
14.06.2020,29411,34345,27136,118505,54843
15.06.2020,29439,34371,27136,118903,54950
16.06.2020,29553,34405,27136,119679,55070
17.06.2020,29578,34448,27136,120420,55175
