country,Albania,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Ireland,Italy,Kazakhstan,Kosovo,Latvia,Lithuania,Luxembourg,Malta,Moldova,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
21.04.2020,4.280821917808217,4.630321135175513,0.5272051368705749,3.064066852367685,7.3275862068965445,2.4335342520571253,2.5210084033613507,4.951560818083968,1.4354066985646052,1.9275362318840694,2.334327583970935,1.1074918566775172,3.7745604963805537,1.7857947269182095,1.492537313432821,0.8336449869105412,6.948775055679289,5.745967741935488,2.4789164324047905,1.505837949985669,7.721382289416854,1.0033444816053558,1.2178619756427795,1.8099547511312188,1.6863406408094508,2.784222737819026,2.5902668759811545,0.3205128205128309,2.1704180064308654,0.48979591836734465,0.4891000558971335,2.7415824038361283,2.473278052053859,3.4243509400179075,11.973430105473144,3.9215686274509935,2.2165387894288195,0.6741573033707721,1.981918985065683,3.6881640387087864,0.42585170340681666,5.068146845460527,7.267950963222428,3.4293160437324937
22.04.2020,4.105090311986862,5.139186295503217,0.3496268405836035,2.567567567567573,8.299866131191449,2.2780544975095167,1.9374068554396409,5.025641025641011,2.2012578616352125,1.407649651642256,2.7499683183373564,0.45103092783505855,2.864972595914305,-1.3833392342319488,1.9607843137255037,1.58944238018492,0.29154518950439084,3.3365109628217335,3.933915211970087,1.831949857847202,7.017543859649124,4.304635761589417,1.7379679144384788,1.4814814814814716,0.995024875621887,0.22573363431151755,6.273909716908949,0.6389776357827541,2.0835154588104956,2.274573517465481,2.0442219440967895,3.1757305194805254,2.8205248140698873,5.063838995888332,9.923620719064496,3.686502177068212,3.7531276063386105,0.6696428571428648,2.0624161271047945,4.451116042292127,0.7304992338666572,3.2251990250128233,7.624489795918354,3.4308453430845613
23.04.2020,4.574132492113558,3.394433129667333,0.515912897822458,1.9762845849802302,10.17717346518336,2.1676335076034383,3.289473684210516,7.12890625000001,1.5897435897435812,0.7711721817162029,2.010360138135185,2.11674150096214,3.7539355776217143,1.4892934991665479,2.163461538461525,1.64688545483512,2.2840531561461628,5.350553505535043,5.614540219542897,1.4125032696834936,7.213114754098345,6.190476190476177,2.2339027595269454,2.0437956204379746,0.3010399562123778,0.22522522522521513,5.327573794096486,0.31746031746031367,2.5376798355789063,3.2565528196981712,0.8585445625511134,3.363162552856732,1.687744518242211,3.9752832131822804,8.231176399593078,1.847704367301245,6.5112540192925925,0.9608277900961009,2.22420569223902,4.692576855786046,0.806565728031693,3.1578734013012455,8.76820388349516,3.4225107324826385
24.04.2020,2.2624434389140293,4.793171372291539,0.4599386748433323,2.8423772609819205,9.361755173273487,3.4955721195410883,0.5661712668082227,12.488605287146747,1.4134275618374659,1.1966049812160942,1.6563897956716038,0.816582914572877,2.591036414565818,1.041673246874653,4.470588235294129,1.2211925892547935,1.0962241169305655,6.961471103327491,3.277105696597945,1.5902259794813027,8.431629532546955,5.08221225710016,0.77120822622108,0.8583690987124519,0.8185538881309813,0.44943820224720127,6.288448393711546,0.9493670886075837,2.249380585173016,1.9999999999999982,0.8377246318065131,3.624774046237273,1.9863105623406212,3.179477020602226,9.317700285154466,2.844969763606363,2.641509433962285,0.5124450951683661,-4.710267387712185,4.846314532975252,0.6351768669286858,3.0670989291679036,6.652719665271961,3.8737198914152144
25.04.2020,5.014749262536888,5.07518796992481,0.5109150023223532,1.5703517587939813,9.312663855009674,2.3299392680558935,4.5742434904996525,1.053484602917358,0.34843205574912045,1.0862092671524766,2.7949571836346494,1.8691588785046669,1.8202502844140895,1.0578173452035773,2.702702702702706,0.9767804953580438,0.6425702811245128,0.0,2.0732512098548215,1.2212814906162777,4.794520547945229,3.982930298719778,2.5510204081632724,1.1347517730496293,0.43301759133964246,0.22371364653242842,6.23794212218649,0.3134796238244616,1.7833319720112213,3.092006033182502,0.48237974005091155,3.4979801689313237,2.609992542878448,2.0927330325429536,8.694004838098573,3.955632767606563,0.9558823529411571,1.0924981791697137,1.4360313315926942,3.4724198781806668,0.7567039787983515,2.7270474302272256,6.250817313979338,3.407771017699093
26.04.2020,1.9662921348314384,4.114490161001795,0.5083179297596998,1.7316017316017163,9.10323253388948,1.784886927744067,2.0188425302826256,4.250200481154775,0.6944444444444422,0.7072905331882451,1.5041073701261016,0.4892966360856345,2.2569832402234806,0.35633862067258826,6.578947368421045,0.8031281746564126,0.43894652833199704,2.3331968890708312,3.7767361672323716,1.189653495502978,4.459823144944244,4.377564979480143,0.9950248756218796,0.8415147265077055,0.323362974939356,0.0,3.1476997578692636,0.3125000000000101,1.7547613952493122,1.3899049012436124,0.3733831177490374,3.051539075667516,2.017783857729142,3.770568876351682,8.528181476913165,3.380897287569101,0.43699927166787716,0.5763688760806698,0.839707632160453,2.547175001375381,0.5779746660206247,2.187004166164075,6.055384615384625,2.9872500317579243
27.04.2020,1.3774104683195703,3.550973654066432,0.32183908045977183,2.0060790273556344,7.894485329255471,1.1986820999696495,3.232189973614773,4.846153846153841,0.44334975369458496,0.5537547271745066,1.4020289524677942,0.24345709068775864,2.6005244755244736,2.3073603747996536,2.263374485596706,0.6262280534956113,0.675407230830351,3.3199999999999825,2.003945592358004,0.8797268243328591,4.343025395656975,2.228047182175644,0.7389162561576358,0.7649513212795624,0.16116035455280092,0.4464285714285816,2.1420187793427115,0.0,1.0515247108307006,0.9379509379509423,0.9565563969708923,2.4533011965223355,0.6830372108615479,2.7455599855019743,7.656672719860646,2.897289231534446,0.1450326323422946,0.4297994269341023,0.8818401610526367,1.5343347639484868,0.35442689515158227,1.9349859257241573,4.549147034930934,2.798678239643711
28.04.2020,1.902173913043485,3.2632743362831818,0.5434070970276288,2.324195470798573,8.140667906811958,1.3858247477884884,1.2779552715655091,2.6412325752017454,0.3923491907797845,0.7924781732706427,1.719874100719449,0.7893139040680147,0.9584664536741185,1.86186077619711,2.816901408450703,0.7268925030549518,1.262825572217836,2.555168408826973,1.1655130293159661,1.0485723168884897,6.77248677248678,1.2820512820512768,2.2004889975550133,-7.246376811594203,0.3218020917135827,1.777777777777773,4.510198218902619,0.0,0.44745057232050367,1.5725518227305175,0.8027372022634675,2.6550159637035877,1.2277854080825685,2.44289619895936,7.356535508967611,2.682779456193349,0.2172338884865952,0.4279600570613457,0.6244479984722804,3.672196977702636,0.34288849266217974,2.130748879842501,4.45110445110445,2.5273448354257892
29.04.2020,2.1333333333333173,3.481521156936266,0.2930259816370317,2.853814793244021,7.97018348623853,1.1091393078970608,5.804416403785481,3.431022158684791,0.7327796775769527,0.9994669509594866,1.73499834235826,0.3614457831325244,3.5021097046413505,-1.484741471609496,1.1741682974559702,1.0174345890239633,0.38971161340609034,2.9445073612683874,1.8916335463098177,1.0352100444157757,3.6669970267591507,1.139240506329103,1.5550239234449876,2.3065476190476173,0.7484629778134183,1.0917030567685542,3.6558548653106158,0.3115264797507613,0.9996892157878308,1.4778325123152587,0.6527415143603092,3.4539204452447034,0.7524052298330619,3.1163911845729926,6.243186045020201,2.671531128633649,0.5057803468208216,0.7102272727272667,1.0172080864247381,3.4707711125834604,0.4886550027337429,2.5607703243700697,4.845908607863972,2.5198644902987253
30.04.2020,0.9138381201044617,6.935817805383021,0.3246331645241039,2.151755379388443,6.4183294135497855,1.3790509622014513,4.770423375074529,4.077401520387,0.6789524733268649,1.3590183401504308,1.6293721485987351,1.3805522208883656,1.8141051773338766,0.45393682112126155,4.255319148936167,0.9099969666767719,0.582298136645964,1.7601760176017636,1.7725769021873259,0.9194905472245727,8.413001912045887,0.8760951188986167,1.060070671378076,0.7272727272727225,0.3979835500132632,0.4319654427645741,3.3412887828162297,0.0,1.3180163085286347,1.5950069348127645,0.3631647211413789,1.8749999999999978,2.2036319118547385,2.187343463015527,7.141922956971395,3.2668500687757973,0.3594536304816488,0.7757404795486619,0.24328729035258154,3.8912422421436292,0.6086986091746787,2.2238474687258143,5.473342793431993,3.6289135489452744
