country,Albania,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Ireland,Italy,Kazakhstan,Kosovo,Latvia,Lithuania,Luxembourg,Malta,Moldova,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
02.06.2020,31.041791797720396,115.41829449009835,176.44017358398548,35.64,202.5408616559918,139.16575310210195,54.394692445004395,16.042767761722473,50.858691026875455,62.91051557830346,184.06772975956832,123.71762362096922,99.60132306775698,102.3125333966633,16.999141999141997,201.00739561089193,12.759801017682353,22.10623272950568,448.82657726302955,265.09441210679284,32.36385228442711,46.87223729028427,39.55655025243325,44.73651126131531,639.1973488592288,116.45970893481409,176.6766664118565,50.613873985914886,1.0334374425868087,76.85632108306217,145.13706314485927,30.50976229132842,193.34183613148178,69.28018117131037,127.04636410002901,97.16009904988164,25.197026236679047,65.6022801381609,321.77664118476525,,334.2351035518989,158.43274346451062,28.053849660757862,1.842387095463197
03.06.2020,31.285666705222127,116.32763033813823,176.92561266928277,36.65,212.8393706935666,139.38410027340558,55.22058044547829,17.22847544135111,51.029194301390845,63.503300873163326,185.1528113516758,125.0821562344358,99.60132306775698,103.2669358190346,17.16001716001716,202.02564937806892,12.759801017682353,22.413263739637703,461.2008533983541,266.49529330411906,33.99266760727574,47.09464411016699,39.55655025243325,45.13050775761192,641.3567993621316,118.14143758369228,181.33782793601904,50.613873985914886,1.0334374425868087,77.33817889549516,145.13706314485927,31.25910661504517,195.38531016578708,70.6836093570962,133.14466038433443,98.39506335941311,25.25212177509744,65.6022801381609,321.77664118476525,,335.40785830120376,159.5680555708326,29.06487167797474,1.8243244768802247
04.06.2020,31.285666705222127,116.79913781489964,177.4336303166869,37.37,223.29615599708774,140.16141620324663,55.56232720429507,18.885609065892346,51.2727704078414,64.0678582968394,186.35845756512856,126.06765201082834,105.03412250781645,104.04025411150032,17.26726726726727,202.57579596317876,12.759801017682353,22.566779244703714,461.2008533983541,268.07997806279656,35.986468303471725,48.429085029463344,39.55655025243325,45.59613998050792,643.5162498650344,121.0844627192291,186.78206459624087,50.613873985914886,1.0334374425868087,78.10915139538795,152.8569198748369,31.81330918779401,197.75963237707506,71.29312743778422,139.0257682668654,99.22794626584128,25.270486954570238,65.65058815004468,321.77664118476525,,335.40785830120376,160.69727040483278,30.754377966692594,1.8348610043869584
05.06.2020,31.703737975225096,118.31469756163277,177.71586234302254,38.71,232.8349389581201,140.720384961784,56.04646844595218,19.857032225106174,51.467631293001844,64.74532720525067,186.9268336371849,126.37088148048755,105.03412250781645,104.8239624769934,17.42814242814243,203.26468565637558,12.759801017682353,22.976153924879746,461.2008533983541,271.2029827178288,37.60438854054879,48.59589014437539,40.6495601936189,46.63485801619898,645.3434772136444,122.55597528699751,195.3958910928932,50.613873985914886,1.039178761712291,78.63919498906424,152.8569198748369,32.289455060155696,199.73499061023682,72.45069959102361,144.4997330012425,99.52950731816875,25.32558249298863,65.65058815004468,321.77664118476525,,335.40785830120376,162.67522554602962,31.684947303494326,1.8484079683241879
06.06.2020,32.22632706272881,125.28627239660514,178.24645855253354,40.24,242.84855071699147,141.40162813625145,56.04646844595218,22.07130560272593,51.66249217816229,64.78296436682909,188.09803281596757,126.97734041980603,105.03412250781645,105.2722199133171,17.77670527670528,203.8413744012933,12.759801017682353,23.32412240302937,461.2008533983541,273.3506693761409,38.86821849005006,48.70709355431675,40.6495601936189,47.315397418893134,645.8418119450835,125.28878434142455,203.22664245348625,50.613873985914886,1.039178761712291,79.02468123901063,152.8569198748369,32.89049165313684,202.46935348471195,73.85412777680943,150.42169136686587,158.76471402534608,25.32558249298863,65.65058815004468,321.77664118476525,,336.58061305050865,165.0190170265354,32.89173750972137,1.8514184047546831
07.06.2020,32.67923760523202,135.1879294085949,178.29161567674723,41.49,249.51725738886367,142.28375070831822,56.04646844595218,22.11416250680889,51.78428023138756,64.8394201091967,188.68363240535894,127.43218462429489,105.03412250781645,105.3271388707475,18.07164307164307,204.1622932426074,12.759801017682353,23.32412240302937,461.2008533983541,274.60748832267825,40.18107632552337,49.15190719408219,40.6495601936189,47.56612246199098,647.6690392936936,125.28878434142455,210.23702938582673,50.613873985914886,1.039178761712291,79.31379592647042,152.8569198748369,33.44729611589859,204.29874928685192,74.97584592530248,154.05534183793188,162.95784865770867,25.509234287716616,65.65058815004468,321.77664118476525,,336.58061305050865,168.24691299370437,33.55681300115315,1.8649653686919125
08.06.2020,32.92311251273376,138.05065337464637,178.8109226052048,43.77,251.97581538656343,142.49336399276973,57.61280775719576,22.671302259887412,51.83299545267767,65.80857701984063,189.3209025467554,127.58379935912453,105.03412250781645,105.65516831918303,18.312955812955813,204.5628385633453,12.759801017682353,23.375294238051374,461.2008533983541,275.84443661393436,40.18107632552337,49.48551742390628,40.6495601936189,47.67357605189006,648.0012624479863,125.28878434142455,213.96595860515674,50.613873985914886,1.039178761712291,79.65109639517352,152.8569198748369,33.819366387744054,205.86541271315258,75.93878205277598,156.7473886737188,160.67460069008658,25.6377905440262,65.65058815004468,321.77664118476525,,336.58061305050865,172.4064721716467,33.94298586714581,1.8890488601358761
09.06.2020,33.44570160023746,149.90569850464772,179.2173367231281,46.059999999999995,258.5812115520571,142.57196897443905,58.35325906796546,23.185585108882965,51.88171067396778,66.36372515312209,190.30264303485265,127.65960672653932,105.03412250781645,106.31419580834768,18.393393393393392,205.25414118016096,12.759801017682353,23.784668918227407,461.2008533983541,279.25887754642446,43.66205622953767,50.708754933261275,41.32618539530527,47.9243010949879,648.1673740251326,125.49900042253432,216.16602684456143,50.613873985914886,1.039178761712291,79.89202530139002,152.8569198748369,34.33454061029932,207.64615437161862,76.36903010973221,164.70710530426638,161.80904464884222,25.74798162086299,65.65058815004468,321.77664118476525,,336.58061305050865,176.33067663796697,34.573198530397704,1.8920592965663714
10.06.2020,34.14248705024241,176.00700525394046,179.61246155999802,47.199999999999996,270.83179453630333,143.165873280385,58.75196361991837,23.771296131350123,51.88171067396778,66.90946399600895,191.24993648827981,128.1144509310282,105.03412250781645,106.79807635219377,18.500643500643502,205.8585785466961,12.759801017682353,24.101934295363833,461.2008533983541,281.3999406529762,45.45974538184552,50.708754933261275,41.32618539530527,49.034654857278355,648.4995971794253,125.49900042253432,221.12550270627037,50.613873985914886,1.039178761712291,80.18113998884981,152.8569198748369,34.89394696307398,211.56767835173773,77.35757624059595,171.772877196476,162.95784865770867,25.784711979808584,65.65058815004468,321.77664118476525,,336.58061305050865,179.06347409260454,35.552039475448524,1.910121915149344
11.06.2020,34.874111772747604,184.08999056985047,180.0527435210816,49.3,281.13030357387805,143.69864037836595,59.80568279293678,24.11415136401383,51.9304258952579,67.42697496771203,192.12833587236685,128.64510250293185,112.2778550945624,107.268598230719,18.607893607893608,206.25791740562454,12.759801017682353,24.47037150752226,461.2008533983541,283.71652788117876,46.8107360175193,50.76435663823195,42.57533961380315,49.14210844717742,649.4962666423037,126.12964866586364,226.42058219771903,50.613873985914886,1.039178761712291,81.0484840512292,152.8569198748369,35.63548561675201,214.09769382278233,78.27953636264502,177.46062612570313,163.15888935926031,25.876537877172577,65.65058815004468,321.77664118476525,,337.7533677998136,180.3085371007192,36.5845155407761,1.9236688790865735
