country,Albania,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Ireland,Italy,Kazakhstan,Kosovo,Latvia,Lithuania,Luxembourg,Malta,Moldova,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
07.04.2020,4.7619047619047565,0.0,10.454545454545471,14.285714285714299,0.0,24.693627450980387,13.79310344827586,4.545454545454561,12.499999999999996,12.820512820512823,8.55614973262033,10.526315789473678,25.925925925925945,15.874971991933688,50.0,11.381215469613254,2.5316455696202502,23.684210526315773,20.689655172413797,3.6555105005144473,0.0,300.0,100.0,0.0,7.317073170731703,0,15.789473684210527,0.0,12.486659551760942,13.043478260869565,17.105263157894743,20.5607476635514,10.932475884244372,11.931818181818166,23.40425531914894,5.172413793103445,0.0,19.999999999999993,5.276965744696809,23.899371069182383,7.320261437908507,11.710323574730355,18.421052631578963,16.105508145849498
08.04.2020,0.0,12.499999999999982,12.345679012345661,0.0,0.0,10.073710073710098,3.030303030303018,4.347826086956502,5.555555555555547,12.499999999999998,7.3891625615763346,14.285714285714299,17.64705882352939,5.259595861935594,0.0,16.517857142857135,2.4691358024691334,23.404255319148927,11.904761904761891,3.1645939160390086,16.66666666666668,24.999999999999993,0.0,0.0,4.545454545454534,0,22.72727272727273,0.0,6.973434535104374,11.538461538461538,13.483146067415738,23.25581395348839,10.144927536231906,11.675126903553302,8.620689655172404,6.557377049180337,0.0,11.111111111111112,5.318618725525088,16.243654822335017,9.01339829476248,12.000000000000014,15.555555555555541,13.84471468662302
09.04.2020,4.545454545454556,11.111111111111114,8.058608058608067,12.499999999999993,23.07692307692308,12.633928571428557,2.941176470588246,0.0,5.263157894736848,13.13131313131311,8.71559633027522,0.0,5.000000000000011,12.317442821713993,0.0,10.983397190293754,4.81927710843373,13.793103448275865,11.914893617021283,3.4523742147263463,14.285714285714294,0.0,49.99999999999999,6.666666666666677,13.04347826086956,100.0,7.407407407407408,0.0,6.5631929046563116,3.448275862068976,6.930693069306926,9.433962264150935,7.6315789473684,12.727272727272746,20.63492063492065,1.5384615384615254,0.0,7.5000000000000036,4.428069226608977,15.429403202328979,5.921787709497209,11.822660098522164,9.615384615384635,12.959267519661918
10.04.2020,0.0,19.99999999999999,8.135593220338984,11.111111111111107,18.750000000000004,19.659135949266744,2.8571428571428563,4.166666666666664,4.999999999999993,6.250000000000012,4.219409282700441,0.0,14.28571428571427,8.071638861629033,0.0,6.1373225930188005,5.7471264367816035,16.66666666666666,9.125475285171088,3.1183325127195216,24.999999999999996,40.00000000000001,0.0,37.49999999999997,3.8461538461538582,0.0,0.0,0.0,4.868913857677897,6.666666666666655,4.62962962962964,4.02298850574712,6.356968215158938,8.870967741935473,23.68421052631578,7.575757575757572,0.0,4.651162790697669,4.104356833042012,9.709962168978569,5.696202531645568,10.792951541850211,21.052631578947356,11.981710485295661
11.04.2020,0.0,8.333333333333337,5.6426332288401175,10.00000000000001,21.05263157894737,10.831401126200731,2.7777777777777772,12.000000000000009,0.0,8.403361344537826,5.263157894736854,0.0,2.083333333333344,4.812712826333721,0.0,-1.1203469461510867,1.0869565217391424,10.389610389610406,11.498257839721267,3.2839938458273688,0.0,0.0,0.0,4.545454545454566,14.81481481481482,50.0,3.4482758620689555,0.0,5.277777777777783,6.250000000000004,5.309734513274323,14.917127071823227,8.045977011494248,7.777777777777777,12.765957446808507,4.225352112676065,0.0,11.11111111111112,3.2647223431378687,1.9540229885057312,3.3932135728542914,9.44333996023858,5.797101449275364,7.795100222717134
12.04.2020,0.0,0.0,3.8575667655786336,0.0,13.043478260869556,7.591153616258217,5.405405405405404,3.571428571428569,9.523809523809533,6.976744186046497,4.999999999999972,4.166666666666646,14.285714285714295,4.050249079488822,0.0,10.453216374269013,5.3763440860215,16.470588235294105,4.375000000000002,2.2138894596260332,0.0,0.0,66.66666666666664,0.0,6.451612903225808,0.0,3.333333333333324,49.999999999999986,3.5431586882774284,0.0,7.563025210084036,11.538461538461524,7.234042553191489,8.591065292096207,22.641509433962277,8.108108108108103,0.0,5.999999999999994,3.6312176321811522,1.352874859075544,6.756756756756737,8.810172570390542,13.698630136986298,5.905647382920135
13.04.2020,0.0,7.692307692307708,5.142857142857148,9.090909090909086,11.53846153846154,8.416666666666673,0.0,10.344827586206891,8.69565217391303,3.6231884057971153,4.3956043956044155,12.000000000000025,5.35714285714284,3.982792117679719,0.0,5.691594970218404,1.0204081632653172,10.101010101010091,9.281437125748505,2.844364038393902,19.999999999999986,0.0,0.0,4.347826086956514,4.54545454545455,0.0,12.903225806451635,0.0,3.13068802329815,11.76470588235295,4.687499999999989,5.6034482758620845,6.150793650793658,4.7468354430379955,13.846153846153841,6.250000000000005,0.0,3.773584905660374,3.178569353245391,2.22469410456063,2.8933092224231665,8.180300500834733,12.048192771084349,6.055925865712878
14.04.2020,4.347826086956517,14.285714285714288,4.34782608695653,8.333333333333341,13.793103448275865,6.507814501665384,2.564102564102564,9.375000000000007,24.000000000000004,12.587412587412578,4.912280701754389,10.714285714285712,8.474576271186443,4.971306552782612,0.0,3.130870381966188,2.0202020202020057,11.926605504587155,11.232876712328745,2.941607622770586,16.66666666666668,14.285714285714288,0.0,20.833333333333336,-2.8985507246376896,0.0,14.28571428571428,33.33333333333334,4.306388986939639,15.789473684210522,3.731343283582099,7.346938775510189,5.98130841121494,6.042296072507557,14.864864864864868,10.58823529411765,0.0,1.8181818181818163,1.6895697229105537,12.40478781284004,3.1634446397187994,8.256172839506165,5.376344086021504,8.032497892235764
15.04.2020,4.166666666666676,6.2499999999999805,2.343750000000007,0.0,9.090909090909092,6.807794082270852,2.4999999999999996,2.857142857142867,6.451612903225827,3.105590062111798,3.3444816053511675,12.903225806451605,12.500000000000009,9.141186192867563,0.0,15.482695810564659,0.9900990099010011,9.836065573770494,9.359605911330064,2.74362747424882,14.285714285714294,0.0,0.0,3.44827586206896,2.9850746268656807,0.0,15.000000000000002,0.0,6.429780033840935,2.272727272727269,7.913669064748199,8.745247148288968,5.6437389770723145,5.982905982905969,16.47058823529413,5.319148936170201,199.99999999999994,8.928571428571436,3.6109880372175467,16.456921587608914,5.53662691652471,8.196721311475423,10.20408163265306,6.002128414331331
16.04.2020,3.999999999999995,5.882352941176473,4.325699745547064,15.384615384615378,11.111111111111112,9.391891891891913,4.878048780487804,5.555555555555552,6.060606060606051,1.8072289156626662,3.8834951456310676,2.8571428571428514,4.166666666666654,4.3858116372532,0.0,6.519453207150372,2.941176470588232,5.970149253731361,9.459459459459465,2.4255024255024287,6.249999999999996,37.50000000000001,0.0,6.666666666666677,0.0,0.0,17.39130434782609,0.0,5.786963434022257,2.2222222222222183,1.3333333333333302,9.790209790209808,5.008347245409023,5.3763440860215095,17.17171717171716,4.040404040404054,33.33333333333334,0.0,3.2446012401112023,10.806317539484617,3.3898305084745686,8.234519104084312,7.40740740740741,6.913861187336852
